Amt	Comb	Avg	Bestcount_count	Bestcount_number	Bestcount_wt	Bestwt	Bestwt_count	Bestwt_number	Greedy_count
100	4563	39.2	1	1	7.5	7.5	1	1	1
99	4366	39.1	6	1	29.32	29.32	6	1	6
98	4219	38.7	6	1	28.56	28.56	6	1	6
97	4072	38.3	5	1	26.26	26.26	5	1	5
96	3925	38.0	5	1	25.5	25.5	5	1	5
95	3778	37.6	4	1	23.2	23.2	4	1	4
94	3631	37.4	5	1	25.4	25.4	5	1	5
93	3484	37.1	5	1	24.64	24.64	5	1	5
92	3376	36.6	4	1	22.34	22.34	4	1	4
91	3229	36.4	4	1	21.58	21.58	4	1	4
90	3121	35.9	3	1	19.28	19.28	3	1	3
89	2974	35.8	6	1	27.68	27.68	6	1	6
88	2866	35.4	6	1	26.92	26.92	6	1	6
87	2758	35.0	5	1	24.62	24.62	5	1	5
86	2650	34.6	5	1	23.86	23.86	5	1	5
85	2542	34.3	4	1	21.56	21.56	4	1	4
84	2434	34.0	5	1	23.76	23.76	5	1	5
83	2326	33.7	5	1	23	23	5	1	5
82	2249	33.2	4	1	20.7	20.7	4	1	4
81	2141	33.0	4	1	19.94	19.94	4	1	4
80	2064	32.5	3	1	17.64	17.64	3	1	3
79	1956	32.4	5	1	23.58	23.58	5	1	5
78	1879	32.0	5	1	22.82	22.82	5	1	5
77	1802	31.6	4	1	20.52	20.52	4	1	4
76	1725	31.3	4	1	19.76	19.76	4	1	4
75	1648	30.9	3	1	17.46	17.46	3	1	3
74	1571	30.7	4	1	19.66	19.66	4	1	4
73	1494	30.4	4	1	18.9	18.9	4	1	4
72	1441	29.8	3	1	16.6	16.6	3	1	3
71	1364	29.6	3	1	15.84	15.84	3	1	3
70	1311	29.2	2	1	13.54	13.54	2	1	2
69	1234	29.1	5	1	21.94	21.94	5	1	5
68	1181	28.7	5	1	21.18	21.18	5	1	5
67	1128	28.2	4	1	18.88	18.88	4	1	4
66	1075	27.9	4	1	18.12	18.12	4	1	4
65	1022	27.5	3	1	15.82	15.82	3	1	3
64	969	27.2	4	1	18.02	18.02	4	1	4
63	916	27.0	4	1	17.26	17.26	4	1	4
62	881	26.4	3	1	14.96	14.96	3	1	3
61	828	26.2	3	1	14.2	14.2	3	1	3
60	793	25.7	2	1	11.9	11.9	2	1	2
59	740	25.6	4	1	17.84	17.84	4	1	4
58	705	25.2	4	1	17.08	17.08	4	1	4
57	670	24.7	3	1	14.78	14.78	3	1	3
56	635	24.4	3	1	14.02	14.02	3	1	3
55	600	24.0	2	1	11.72	11.72	2	1	2
54	565	23.7	3	1	13.92	13.92	3	1	3
53	530	23.4	3	1	13.16	13.16	3	1	3
52	508	22.8	2	1	10.86	10.86	2	1	2
51	473	22.6	2	1	10.1	10.1	2	1	2
50	451	22.1	1	1	7.8	7.8	1	1	1
49	416	22.0	5	1	21.52	21.52	5	1	5
48	394	21.6	5	1	20.76	20.76	5	1	5
47	372	21.1	4	1	18.46	18.46	4	1	4
46	350	20.7	4	1	17.7	17.7	4	1	4
45	328	20.3	3	1	15.4	15.4	3	1	3
44	306	20.0	4	1	17.6	17.6	4	1	4
43	284	19.7	4	1	16.84	16.84	4	1	4
42	271	19.1	3	1	14.54	14.54	3	1	3
41	249	18.8	3	1	13.78	13.78	3	1	3
40	236	18.3	2	1	11.48	11.48	2	1	2
39	214	18.2	5	1	19.88	19.88	5	1	5
38	201	17.8	5	1	19.12	19.12	5	1	5
37	188	17.2	4	1	16.82	16.82	4	1	4
36	175	16.8	4	1	16.06	16.06	4	1	4
35	162	16.4	3	1	13.76	13.76	3	1	3
34	149	16.1	4	1	15.96	15.96	4	1	4
33	136	15.8	4	1	15.2	15.2	4	1	4
32	129	15.1	3	1	12.9	12.9	3	1	3
31	116	14.9	3	1	12.14	12.14	3	1	3
30	109	14.3	2	1	9.84	9.84	2	1	2
29	96	14.3	4	1	15.78	15.78	4	1	4
28	89	13.8	4	1	15.02	15.02	4	1	4
27	82	13.3	3	1	12.72	12.72	3	1	3
26	75	12.9	3	1	11.96	11.96	3	1	3
25	68	12.4	2	1	9.66	9.66	2	1	2
24	61	12.2	3	1	11.86	11.86	3	1	3
23	54	11.9	3	1	11.1	11.1	3	1	3
22	51	11.1	2	1	8.8	8.8	2	1	2
21	44	11.0	2	1	8.04	8.04	2	1	2
20	41	10.3	1	1	5.74	5.74	1	1	1
19	34	10.4	4	1	14.14	14.14	4	1	4
18	31	9.9	4	1	13.38	13.38	4	1	4
17	28	9.2	3	1	11.08	11.08	3	1	3
16	25	8.8	3	1	10.32	10.32	3	1	3
15	22	8.2	2	1	8.02	8.02	2	1	2
14	19	7.9	3	1	10.22	10.22	3	1	3
13	16	7.6	3	1	9.46	9.46	3	1	3
12	15	6.7	2	1	7.16	7.16	2	1	2
11	12	6.5	2	1	6.4	6.4	2	1	2
10	11	5.7	1	1	4.1	4.1	1	1	1
9	8	5.9	3	1	10.04	10.04	3	1	3
8	7	5.3	3	1	9.28	9.28	3	1	3
7	6	4.5	2	1	6.98	6.98	2	1	2
6	5	4.0	2	1	6.22	6.22	2	1	2
5	4	3.2	1	1	3.92	3.92	1	1	1
4	3	3.0	2	1	6.12	6.12	2	1	2
3	2	2.5	2	1	5.36	5.36	2	1	2
2	2	1.5	1	1	3.06	3.06	1	1	1
1	1	1.0	1	1	2.3	2.3	1	1	1
