Amt	Comb	Avg	Bestcount_count	Bestcount_number	Bestcount_wt	Bestwt	Bestwt_count	Bestwt_number	Greedy_count
100	4563	39.2	1	1	8.75	8.75	1	1	1
99	4366	39.1	6	1	35.49	35.49	8	1	6
98	4219	38.7	6	1	31.93	31.93	7	1	6
97	4072	38.3	5	1	28.37	28.37	6	1	5
96	3925	38.0	5	1	24.81	24.81	5	1	5
95	3778	37.6	4	1	21.25	21.25	4	1	4
94	3631	37.4	5	1	32.24	32.24	7	1	5
93	3484	37.1	5	1	28.68	28.68	6	1	5
92	3376	36.6	4	1	25.12	25.12	5	1	4
91	3229	36.4	4	1	21.56	21.56	4	1	4
90	3121	35.9	3	1	18	18	3	1	3
89	2974	35.8	6	1	36.99	36.99	6	6	6
88	2866	35.4	6	1	33.43	33.43	6	4	6
87	2758	35.0	5	1	29.87	29.87	6	2	5
86	2650	34.6	5	1	26.31	26.31	5	2	5
85	2542	34.3	4	1	22.75	22.75	4	2	4
84	2434	34.0	5	1	33.74	33.74	7	2	5
83	2326	33.7	5	1	30.18	30.18	6	2	5
82	2249	33.2	4	1	26.62	26.62	5	2	4
81	2141	33.0	4	1	23.06	23.06	4	2	4
80	2064	32.5	3	1	19.5	19.5	3	2	3
79	1956	32.4	5	1	30.49	30.49	7	1	5
78	1879	32.0	5	1	26.93	26.93	6	1	5
77	1802	31.6	4	1	23.37	23.37	5	1	4
76	1725	31.3	4	1	19.81	19.81	4	1	4
75	1648	30.9	3	1	16.25	16.25	3	1	3
74	1571	30.7	4	1	27.24	27.24	6	1	4
73	1494	30.4	4	1	23.68	23.68	5	1	4
72	1441	29.8	3	1	20.12	20.12	4	1	3
71	1364	29.6	3	1	16.56	16.56	3	1	3
70	1311	29.2	2	1	13	13	2	1	2
69	1234	29.1	5	1	31.99	31.99	7	2	5
68	1181	28.7	5	1	28.43	28.43	6	2	5
67	1128	28.2	4	1	24.87	24.87	5	2	4
66	1075	27.9	4	1	21.31	21.31	4	2	4
65	1022	27.5	3	1	17.75	17.75	3	2	3
64	969	27.2	4	1	28.74	28.74	6	2	4
63	916	27.0	4	1	25.18	25.18	5	2	4
62	881	26.4	3	1	21.62	21.62	4	2	3
61	828	26.2	3	1	18.06	18.06	3	2	3
60	793	25.7	2	1	14.5	14.5	2	2	2
59	740	25.6	4	1	25.49	25.49	5	2	4
58	705	25.2	4	1	21.93	21.93	4	2	4
57	670	24.7	3	1	18.37	18.37	3	2	3
56	635	24.4	3	1	14.81	14.81	3	1	3
55	600	24.0	2	1	11.25	11.25	2	1	2
54	565	23.7	3	1	22.24	22.24	4	2	3
53	530	23.4	3	1	18.68	18.68	3	2	3
52	508	22.8	2	1	15.12	15.12	2	2	2
51	473	22.6	2	1	11.56	11.56	2	1	2
50	451	22.1	1	1	8	8	1	1	1
49	416	22.0	5	1	27.49	27.49	7	1	5
48	394	21.6	5	1	23.93	23.93	6	1	5
47	372	21.1	4	1	20.37	20.37	5	1	4
46	350	20.7	4	1	16.81	16.81	4	1	4
45	328	20.3	3	1	13.25	13.25	3	1	3
44	306	20.0	4	1	24.24	24.24	5	2	4
43	284	19.7	4	1	20.68	20.68	4	2	4
42	271	19.1	3	1	17.12	17.12	3	2	3
41	249	18.8	3	1	13.56	13.56	3	1	3
40	236	18.3	2	1	10	10	2	1	2
39	214	18.2	5	1	28.99	28.99	7	2	5
38	201	17.8	5	1	25.43	25.43	6	2	5
37	188	17.2	4	1	21.87	21.87	5	2	4
36	175	16.8	4	1	18.31	18.31	4	2	4
35	162	16.4	3	1	14.75	14.75	3	2	3
34	149	16.1	4	1	25.74	25.74	5	4	4
33	136	15.8	4	1	22.18	22.18	4	4	4
32	129	15.1	3	1	18.62	18.62	3	4	3
31	116	14.9	3	1	15.06	15.06	3	2	3
30	109	14.3	2	1	11.5	11.5	2	2	2
29	96	14.3	4	1	22.49	22.49	5	2	4
28	89	13.8	4	1	18.93	18.93	4	2	4
27	82	13.3	3	1	15.37	15.37	3	2	3
26	75	12.9	3	1	11.81	11.81	3	1	3
25	68	12.4	2	1	8.25	8.25	2	1	2
24	61	12.2	3	1	19.24	19.24	3	3	3
23	54	11.9	3	1	15.68	15.68	3	2	3
22	51	11.1	2	1	12.12	12.12	2	2	2
21	44	11.0	2	1	8.56	8.56	2	1	2
20	41	10.3	1	1	5	5	1	1	1
19	34	10.4	4	1	23.99	23.99	5	4	4
18	31	9.9	4	1	20.43	20.43	4	4	4
17	28	9.2	3	1	16.87	16.87	3	4	3
16	25	8.8	3	1	13.31	13.31	3	2	3
15	22	8.2	2	1	9.75	9.75	2	2	2
14	19	7.9	3	1	20.74	20.74	4	4	3
13	16	7.6	3	1	17.18	17.18	3	4	3
12	15	6.7	2	1	13.62	13.62	2	4	2
11	12	6.5	2	1	10.06	10.06	2	2	2
10	11	5.7	1	1	6.5	6.5	1	2	1
9	8	5.9	3	1	17.49	17.49	3	3	3
8	7	5.3	3	1	13.93	13.93	3	2	3
7	6	4.5	2	1	10.37	10.37	2	2	2
6	5	4.0	2	1	6.81	6.81	2	1	2
5	4	3.2	1	1	3.25	3.25	1	1	1
4	3	3.0	2	1	14.24	14.24	2	3	2
3	2	2.5	2	1	10.68	10.68	2	2	2
2	2	1.5	1	1	7.12	7.12	1	2	1
1	1	1.0	1	1	3.56	3.56	1	1	1
