Amt	Comb	Avg	Bestcount_count	Bestcount_number	Bestcount_wt	Bestwt	Bestwt_count	Bestwt_number
100	159	38.9	1	1	4.8	4.8	1	1
99	140	41.6	10	1	29.75	29.75	10	1
98	140	40.6	9	1	28.75	28.75	9	1
97	140	39.6	8	1	27.75	27.75	8	1
96	140	38.6	7	1	26.75	26.75	7	1
95	140	37.6	6	1	25.75	25.75	6	1
94	125	39.6	9	1	26	26	9	1
93	125	38.6	8	1	25	25	8	1
92	125	37.6	7	1	24	24	7	1
91	125	36.6	6	1	23	23	6	1
90	125	35.6	5	1	22	22	5	1
89	110	37.9	9	1	25.25	25.25	9	1
88	110	36.9	8	1	24.25	24.25	8	1
87	110	35.9	7	1	23.25	23.25	7	1
86	110	34.9	6	1	22.25	22.25	6	1
85	110	33.9	5	1	21.25	21.25	5	1
84	97	36.0	8	1	21.5	21.5	8	1
83	97	35.0	7	1	20.5	20.5	7	1
82	97	34.0	6	1	19.5	19.5	6	1
81	97	33.0	5	1	18.5	18.5	5	1
80	97	32.0	4	1	17.5	17.5	4	1
79	84	34.4	8	1	20.75	20.75	8	1
78	84	33.4	7	1	19.75	19.75	7	1
77	84	32.4	6	1	18.75	18.75	6	1
76	84	31.4	5	1	17.75	17.75	5	1
75	84	30.4	4	1	16.75	16.75	4	1
74	73	32.5	7	1	17	17	7	1
73	73	31.5	6	1	16	16	6	1
72	73	30.5	5	1	15	15	5	1
71	73	29.5	4	1	14	14	4	1
70	73	28.5	3	1	13	13	3	1
69	62	31.0	7	1	16.25	16.25	7	1
68	62	30.0	6	1	15.25	15.25	6	1
67	62	29.0	5	1	14.25	14.25	5	1
66	62	28.0	4	1	13.25	13.25	4	1
65	62	27.0	3	1	12.25	12.25	3	1
64	53	29.1	6	1	12.5	12.5	6	1
63	53	28.1	5	1	11.5	11.5	5	1
62	53	27.1	4	1	10.5	10.5	4	1
61	53	26.1	3	1	9.5	9.5	3	1
60	53	25.1	2	1	8.5	8.5	2	1
59	44	27.7	6	1	11.75	11.75	6	1
58	44	26.7	5	1	10.75	10.75	5	1
57	44	25.7	4	1	9.75	9.75	4	1
56	44	24.7	3	1	8.75	8.75	3	1
55	44	23.7	2	1	7.75	7.75	2	1
54	37	25.8	5	1	8	8	5	1
53	37	24.8	4	1	7	7	4	1
52	37	23.8	3	1	6	6	3	1
51	37	22.8	2	1	5	5	2	1
50	37	21.8	1	1	4	4	1	1
49	30	24.3	9	1	25.75	25.75	9	1
48	30	23.3	8	1	24.75	24.75	8	1
47	30	22.3	7	1	23.75	23.75	7	1
46	30	21.3	6	1	22.75	22.75	6	1
45	30	20.3	5	1	21.75	21.75	5	1
44	25	22.0	8	1	22	22	8	1
43	25	21.0	7	1	21	21	7	1
42	25	20.0	6	1	20	20	6	1
41	25	19.0	5	1	19	19	5	1
40	25	18.0	4	1	18	18	4	1
39	20	20.0	8	1	21.25	21.25	8	1
38	20	19.0	7	1	20.25	20.25	7	1
37	20	18.0	6	1	19.25	19.25	6	1
36	20	17.0	5	1	18.25	18.25	5	1
35	20	16.0	4	1	17.25	17.25	4	1
34	16	17.6	7	1	17.5	17.5	7	1
33	16	16.6	6	1	16.5	16.5	6	1
32	16	15.6	5	1	15.5	15.5	5	1
31	16	14.6	4	1	14.5	14.5	4	1
30	16	13.6	3	1	13.5	13.5	3	1
29	12	15.7	7	1	16.75	16.75	7	1
28	12	14.7	6	1	15.75	15.75	6	1
27	12	13.7	5	1	14.75	14.75	5	1
26	12	12.7	4	1	13.75	13.75	4	1
25	12	11.7	3	1	12.75	12.75	3	1
24	9	13.2	6	1	13	13	6	1
23	9	12.2	5	1	12	12	5	1
22	9	11.2	4	1	11	11	4	1
21	9	10.2	3	1	10	10	3	1
20	9	9.2	2	1	9	9	2	1
19	6	11.3	6	1	12.25	12.25	6	1
18	6	10.3	5	1	11.25	11.25	5	1
17	6	9.3	4	1	10.25	10.25	4	1
16	6	8.3	3	1	9.25	9.25	3	1
15	6	7.3	2	1	8.25	8.25	2	1
14	4	8.8	5	1	8.5	8.5	5	1
13	4	7.8	4	1	7.5	7.5	4	1
12	4	6.8	3	1	6.5	6.5	3	1
11	4	5.8	2	1	5.5	5.5	2	1
10	4	4.8	1	1	4.5	4.5	1	1
9	2	7.0	5	1	7.75	7.75	5	1
8	2	6.0	4	1	6.75	6.75	4	1
7	2	5.0	3	1	5.75	5.75	3	1
6	2	4.0	2	1	4.75	4.75	2	1
5	2	3.0	1	1	3.75	3.75	1	1
4	1	4.0	4	1	4	4	4	1
3	1	3.0	3	1	3	3	3	1
2	1	2.0	2	1	2	2	2	1
1	1	1.0	1	1	1	1	1	1
