Amt	Bestcount_count	Bestcount_number	Bestcount_wt	Bestwt	Bestwt_count	Bestwt_number	Greedy_count
120	2	1	56.56	56.56	2	1	2
119	6	1	79.73	79.73	6	1	6
118	5	1	70.13	70.13	5	1	5
117	4	1	60.53	60.53	4	1	4
116	5	1	72.93	72.93	5	1	5
115	4	1	63.33	63.33	4	1	4
114	3	1	53.73	53.73	3	1	3
113	6	1	76.9	76.9	6	1	7
112	5	1	67.3	67.3	5	1	6
111	4	1	57.7	57.7	4	1	5
110	5	1	70.1	70.1	5	1	6
109	4	1	60.5	60.5	4	1	5
108	3	1	50.9	50.9	3	1	4
107	6	1	74.08	74.08	6	1	6
106	5	1	64.48	64.48	5	1	5
105	4	1	54.88	54.88	4	1	4
104	5	1	67.28	67.28	5	1	5
103	4	1	57.68	57.68	4	1	4
102	3	1	48.08	48.08	3	1	3
101	6	2	71.25	71.25	6	2	6
100	5	2	61.65	61.65	5	2	5
99	4	2	52.05	52.05	4	2	4
98	5	2	64.45	64.45	5	2	5
97	4	2	54.85	54.85	4	2	4
96	3	2	45.25	45.25	3	2	3
95	5	1	68.42	68.42	5	1	5
94	4	1	58.82	58.82	4	1	4
93	3	1	49.22	49.22	3	1	3
92	4	1	61.62	61.62	4	1	4
91	3	1	52.02	52.02	3	1	3
90	2	1	42.42	42.42	2	1	2
89	5	1	65.59	65.59	5	1	5
88	4	1	55.99	55.99	4	1	4
87	3	1	46.39	46.39	3	1	3
86	4	1	58.79	58.79	4	1	4
85	3	1	49.19	49.19	3	1	3
84	2	1	39.59	39.59	2	1	2
83	6	2	62.76	62.76	6	1	6
82	5	2	53.16	53.16	5	1	5
81	4	2	43.56	43.56	4	1	4
80	5	2	55.96	55.96	5	1	5
79	4	2	46.36	46.36	4	1	4
78	3	2	36.76	36.76	3	1	3
77	5	1	59.94	59.94	5	1	5
76	4	1	50.34	50.34	4	1	4
75	3	1	40.74	40.74	3	1	3
74	4	1	53.14	53.14	4	1	4
73	3	1	43.54	43.54	3	1	3
72	2	1	33.94	33.94	2	1	2
71	5	1	57.11	57.11	5	1	5
70	4	1	47.51	47.51	4	1	4
69	3	1	37.91	37.91	3	1	3
68	4	1	50.31	50.31	4	1	4
67	3	1	40.71	40.71	3	1	3
66	2	1	31.11	31.11	2	1	2
65	4	1	54.28	54.28	4	1	4
64	3	1	44.68	44.68	3	1	3
63	2	1	35.08	35.08	2	1	2
62	3	1	47.48	47.48	3	1	3
61	2	1	37.88	37.88	2	1	2
60	1	1	28.28	28.28	1	1	1
59	5	1	51.45	51.45	5	1	5
58	4	1	41.85	41.85	4	1	4
57	3	1	32.25	32.25	3	1	3
56	4	1	44.65	44.65	4	1	4
55	3	1	35.05	35.05	3	1	3
54	2	1	25.45	25.45	2	1	2
53	5	1	48.62	48.62	5	1	6
52	4	1	39.02	39.02	4	1	5
51	3	1	29.42	29.42	3	1	4
50	4	1	41.82	41.82	4	1	5
49	3	1	32.22	32.22	3	1	4
48	2	1	22.62	22.62	2	1	3
47	5	1	45.8	45.8	5	1	5
46	4	1	36.2	36.2	4	1	4
45	3	1	26.6	26.6	3	1	3
44	4	1	39	39	4	1	4
43	3	1	29.4	29.4	3	1	3
42	2	1	19.8	19.8	2	1	2
41	5	2	42.97	42.97	5	2	5
40	4	2	33.37	33.37	4	2	4
39	3	2	23.77	23.77	3	2	3
38	4	2	36.17	36.17	4	2	4
37	3	2	26.57	26.57	3	2	3
36	2	2	16.97	16.97	2	2	2
35	4	1	40.14	40.14	4	1	4
34	3	1	30.54	30.54	3	1	3
33	2	1	20.94	20.94	2	1	2
32	3	1	33.34	33.34	3	1	3
31	2	1	23.74	23.74	2	1	2
30	1	1	14.14	14.14	1	1	1
29	4	1	37.31	37.31	4	1	4
28	3	1	27.71	27.71	3	1	3
27	2	1	18.11	18.11	2	1	2
26	3	1	30.51	30.51	3	1	3
25	2	1	20.91	20.91	2	1	2
24	1	1	11.31	11.31	1	1	1
23	5	1	34.49	34.49	5	1	5
22	4	1	24.89	24.89	4	1	4
21	3	1	15.29	15.29	3	1	3
20	4	1	27.69	27.69	4	1	4
19	3	1	18.09	18.09	3	1	3
18	2	1	8.49	8.49	2	1	2
17	4	1	31.66	31.66	4	1	4
16	3	1	22.06	22.06	3	1	3
15	2	1	12.46	12.46	2	1	2
14	3	1	24.86	24.86	3	1	3
13	2	1	15.26	15.26	2	1	2
12	1	1	5.66	5.66	1	1	1
11	4	1	28.83	28.83	4	1	4
10	3	1	19.23	19.23	3	1	3
9	2	1	9.63	9.63	2	1	2
8	3	1	22.03	22.03	3	1	3
7	2	1	12.43	12.43	2	1	2
6	1	1	2.83	2.83	1	1	1
5	3	1	26	26	3	1	3
4	2	1	16.4	16.4	2	1	2
3	1	1	6.8	6.8	1	1	1
2	2	1	19.2	19.2	2	1	2
1	1	1	9.6	9.6	1	1	1
