Amt	Comb	Avg	Bestcount_count	Bestcount_number	Bestcount_wt	Bestwt	Bestwt_count	Bestwt_number
100	242	36.6	4	1	22.68	22.68	4	1
99	213	39.0	9	1	31.546	31.546	9	1
98	213	38.0	8	1	29.046	29.046	8	1
97	213	37.0	7	1	26.546	26.546	7	1
96	213	36.0	6	1	24.046	24.046	6	1
95	213	35.0	5	1	21.546	21.546	5	1
94	187	37.2	9	1	34.278	30.412	10	2
93	187	36.2	8	1	31.778	27.912	9	2
92	187	35.2	7	1	29.278	25.412	8	2
91	187	34.2	6	1	26.778	22.912	7	2
90	187	33.2	5	1	24.278	20.412	6	2
89	163	35.5	8	1	29.278	29.278	8	1
88	163	34.5	7	1	26.778	26.778	7	1
87	163	33.5	6	1	24.278	24.278	6	1
86	163	32.5	5	1	21.778	21.778	5	1
85	163	31.5	4	1	19.278	19.278	4	1
84	141	33.8	8	1	32.01	28.144	9	2
83	141	32.8	7	1	29.51	25.644	8	2
82	141	31.8	6	1	27.01	23.144	7	2
81	141	30.8	5	1	24.51	20.644	6	2
80	141	29.8	4	1	22.01	18.144	5	2
79	121	32.2	7	1	27.01	27.01	7	1
78	121	31.2	6	1	24.51	24.51	6	1
77	121	30.2	5	1	22.01	22.01	5	1
76	121	29.2	4	1	19.51	19.51	4	1
75	121	28.2	3	1	17.01	17.01	3	1
74	103	30.5	8	1	25.876	25.876	8	2
73	103	29.5	7	1	23.376	23.376	7	2
72	103	28.5	6	1	20.876	20.876	6	2
71	103	27.5	5	1	18.376	18.376	5	2
70	103	26.5	4	1	15.876	15.876	4	2
69	87	28.8	8	1	28.608	24.742	9	1
68	87	27.8	7	1	26.108	22.242	8	1
67	87	26.8	6	1	23.608	19.742	7	1
66	87	25.8	5	1	21.108	17.242	6	1
65	87	24.8	4	1	18.608	14.742	5	1
64	73	27.0	7	1	23.608	23.608	7	2
63	73	26.0	6	1	21.108	21.108	6	2
62	73	25.0	5	1	18.608	18.608	5	2
61	73	24.0	4	1	16.108	16.108	4	2
60	73	23.0	3	1	13.608	13.608	3	2
59	60	25.3	7	1	26.34	22.474	8	1
58	60	24.3	6	1	23.84	19.974	7	1
57	60	23.3	5	1	21.34	17.474	6	1
56	60	22.3	4	1	18.84	14.974	5	1
55	60	21.3	3	1	16.34	12.474	4	1
54	49	23.6	6	1	21.34	21.34	6	2
53	49	22.6	5	1	18.84	18.84	5	2
52	49	21.6	4	1	16.34	16.34	4	2
51	49	20.6	3	1	13.84	13.84	3	2
50	49	19.6	2	1	11.34	11.34	2	2
49	39	22.0	7	1	20.206	20.206	7	1
48	39	21.0	6	1	17.706	17.706	6	1
47	39	20.0	5	1	15.206	15.206	5	1
46	39	19.0	4	1	12.706	12.706	4	1
45	39	18.0	3	1	10.206	10.206	3	1
44	31	20.1	7	1	22.938	19.072	8	1
43	31	19.1	6	1	20.438	16.572	7	1
42	31	18.1	5	1	17.938	14.072	6	1
41	31	17.1	4	1	15.438	11.572	5	1
40	31	16.1	3	1	12.938	9.072	4	1
39	24	18.3	6	1	17.938	17.938	6	1
38	24	17.3	5	1	15.438	15.438	5	1
37	24	16.3	4	1	12.938	12.938	4	1
36	24	15.3	3	1	10.438	10.438	3	1
35	24	14.3	2	1	7.938	7.938	2	1
34	18	16.6	6	1	20.67	16.804	7	1
33	18	15.6	5	1	18.17	14.304	6	1
32	18	14.6	4	1	15.67	11.804	5	1
31	18	13.6	3	1	13.17	9.304	4	1
30	18	12.6	2	1	10.67	6.804	3	1
29	13	14.8	5	1	15.67	15.67	5	1
28	13	13.8	4	1	13.17	13.17	4	1
27	13	12.8	3	1	10.67	10.67	3	1
26	13	11.8	2	1	8.17	8.17	2	1
25	13	10.8	1	1	5.67	5.67	1	1
24	9	13.2	6	1	14.536	14.536	6	1
23	9	12.2	5	1	12.036	12.036	5	1
22	9	11.2	4	1	9.536	9.536	4	1
21	9	10.2	3	1	7.036	7.036	3	1
20	9	9.2	2	1	4.536	4.536	2	1
19	6	11.3	6	1	17.268	17.268	6	1
18	6	10.3	5	1	14.768	14.768	5	1
17	6	9.3	4	1	12.268	12.268	4	1
16	6	8.3	3	1	9.768	9.768	3	1
15	6	7.3	2	1	7.268	7.268	2	1
14	4	8.8	5	1	12.268	12.268	5	1
13	4	7.8	4	1	9.768	9.768	4	1
12	4	6.8	3	1	7.268	7.268	3	1
11	4	5.8	2	1	4.768	4.768	2	1
10	4	4.8	1	1	2.268	2.268	1	1
9	2	7.0	5	1	15	15	5	1
8	2	6.0	4	1	12.5	12.5	4	1
7	2	5.0	3	1	10	10	3	1
6	2	4.0	2	1	7.5	7.5	2	1
5	2	3.0	1	1	5	5	1	1
4	1	4.0	4	1	10	10	4	1
3	1	3.0	3	1	7.5	7.5	3	1
2	1	2.0	2	1	5	5	2	1
1	1	1.0	1	1	2.5	2.5	1	1
